Elige la actividad extra-académica que asistes,01. Mi maestro(a) cumple con horario de entrada y salida.,02. Mi maestro(a) escucha a sus alumnos con atención.,03. Mi maestro(a) crea un ambiente seguro a través de reglas claras durante el entrenamiento.,04. Mi maestro(a) forma técnica y deportivamente a los jugadores.,05. Mi maestro(a) motiva a sus alumnos.,06. Mi maestro(a) asiste a todas las prácticas programadas.,07. Mi maestro(a) reconoce el comportamiento positivo de sus alumnos.,08. Mi maestro(a) fomenta el respeto entre todos sus alumnos.,09. ¿Cómo calificarías en general el desempeño de tu maestro(a) en sus clases?,10. Tienes algún comentario para tu maestro(a)
Ajedrez. Mario Rodríguez García ,10,10,10,10,10,10,10,10,10,XXXXXXXXXXXXXXX
Ajedrez. Mario Rodríguez García ,10,10,10,10,10,10,10,10,10,XXXXXXXXXXXXXXX
Ajedrez. Mario Rodríguez García ,10,10,10,10,10,10,10,10,10,XXXXXXXXXXXXXXX
Ajedrez. Mario Rodríguez García ,9,10,10,10,10,10,10,9,10,XXXXXXXXXXXXXXX
Ajedrez. Mario Rodríguez García ,9,10,10,10,10,10,10,10,10,XXXXXXXXXXXXXXX
Ajedrez. Mario Rodríguez García ,10,10,10,10,10,10,10,10,10,XXXXXXXXXXXXXXX
Ajedrez. Mario Rodríguez García ,10,10,10,10,10,10,10,10,10,XXXXXXXXXXXXXXX
Ajedrez. Mario Rodríguez García ,10,10,10,10,10,10,10,10,10,
Ajedrez. Mario Rodríguez García ,10,10,10,10,10,10,10,10,10,
Ajedrez. Mario Rodríguez García ,10,10,10,10,10,10,10,10,10,
Ajedrez. Mario Rodríguez García ,8,10,10,9,10,9,10,10,10,
Ajedrez. Mario Rodríguez García ,5,7,9,6,4,6,8,1,8,
Ajedrez. Mario Rodríguez García ,10,10,10,10,10,10,10,10,10,
Ajedrez. Mario Rodríguez García ,10,10,10,10,10,10,10,10,10,
Ajedrez. Mario Rodríguez García ,10,10,10,10,10,10,10,10,10,
Ajedrez. Mario Rodríguez García ,10,10,10,10,10,10,10,10,10,
Ajedrez. Mario Rodríguez García ,10,10,10,10,10,10,10,10,10,
Atletismo. Sofía Rascón Hernández ,9,6,6,7,6,10,4,8,6,XXXXXXXXXXXXXXX
Atletismo. Sofía Rascón Hernández ,9,9,9,10,10,10,10,10,9,XXXXXXXXXXXXXXX
Atletismo. Sofía Rascón Hernández ,10,10,9,10,9,10,10,8,10,XXXXXXXXXXXXXXX
Atletismo. Sofía Rascón Hernández ,10,9,10,10,10,10,10,10,10,XXXXXXXXXXXXXXX
